restaurant.R.res_id,restaurant.name,restaurant.cuisines,restaurant.average_cost_for_two,restaurant.location.locality,restaurant.location.city,restaurant.location.address,restaurant.location.latitude,restaurant.location.longitude,restaurant.user_rating.aggregate_rating,restaurant.user_rating.rating_text,restaurant.menu_url
70477,Tovo,"Burger, American, Continental, Steak, Salad",1200,Mylapore,Chennai,"113, R.K Salai, Mylapore, Chennai",13.0447044059,80.2617731318,4.2,Very Good,https://www.zomato.com/chennai/tovo-1-mylapore/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop
71888,Hoppipola,"Continental, Mediterranean, American",1400,"The Spring Hotel, Nungambakkam",Chennai,"11, The Spring Hotel, Kodambakkam High Road, Nungambakkam, Chennai",13.0529351956,80.2482504398,4.2,Very Good,https://www.zomato.com/chennai/hoppipola-nungambakkam/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop
65268,Kailash Parbat,North Indian,600,Chetpet,Chennai,"9, Atop French Loaf,2nd Avenue, Harrington, Chetpet, Chennai",13.0689952245,80.2379960194,4.0,Very Good,https://www.zomato.com/chennai/kailash-parbat-chetpet/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop
65143,Dindigul Thalappakatti,"South Indian, Biryani, Chinese, North Indian",800,Nungambakkam,Chennai,"142, Ground Floor, MG Road, Nungambakkam, Chennai",13.0537275580,80.2501524612,4.0,Very Good,https://www.zomato.com/chennai/dindigul-thalappakatti-nungambakkam/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop
72415,Sigree Global Grill,"North Indian, Mexican, Mediterranean",1200,"The Spring Hotel, Nungambakkam",Chennai,"The Spring Hotel, Kodambakkam High Road, Nungambakkam, Chennai",13.0528453769,80.2482779324,4.5,Excellent,https://www.zomato.com/chennai/sigree-global-grill-nungambakkam/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop
18581875,Orange Wok,"Malaysian, Chinese, Asian, Thai, Beverages, Momos",1000,Nungambakkam,Chennai,"7, First Floor, Khader Nawaz Khan Road, Nungambakkam, Chennai",13.0605356945,80.2505306527,4.2,Very Good,https://www.zomato.com/chennai/orange-wok-nungambakkam/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop
18881790,Locofeast,"North Indian, Seafood, Continental",800,Nungambakkam,Chennai,"2nd Floor, H M Centre 29, Nungambakkam High Road, Nungambakkam, Chennai",13.0569750413,80.2481860667,4.3,Very Good,https://www.zomato.com/chennai/locofeast-nungambakkam/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop
18423052,The Miner Diner,"Continental, Pizza, Salad, Desserts",600,Nungambakkam,Chennai,"31, Anderson Road, Cochin House, Nungambakkam, Chennai",13.0652083616,80.2518741041,3.8,Good,https://www.zomato.com/chennai/the-miner-diner-nungambakkam/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop
65520,Savoury Sea Shell,"Chinese, BBQ, South Indian",750,Egmore,Chennai,"55, Ali Tower, Greams Road, Opposite IDBI Bank, Egmore, Chennai",13.0566908923,80.2553596348,4.1,Very Good,https://www.zomato.com/chennai/savoury-sea-shell-egmore/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop
18933315,Nolita,"Italian, Cafe",700,Nungambakkam,Chennai,"Ikhaya Artisanal Boutique House, 6, Nawab Habibullah Avenue, 1st Street, Off Anderson Road, Near British Consulate, Nungambakkam, Chennai",13.0645744361,80.2512903884,4.3,Very Good,https://www.zomato.com/chennai/nolita-nungambakkam/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop
18555163,Amelie's,"Cafe, Continental, Italian",900,Alwarpet,Chennai,"6,Seshadri Road, Venus Colony, Alwarpet, Chennai",13.0396959016,80.2558394149,4.4,Very Good,https://www.zomato.com/chennai/amelies-1-alwarpet/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop
71216,Eatza Pizza,"Pizza, Fast Food",500,Nungambakkam,Chennai,"7, Jaganathan Road, Opposite Vijay TV Office, Nungambakkam, Chennai",13.0606588239,80.2455125749,3.7,Good,https://www.zomato.com/chennai/eatza-pizza-nungambakkam/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop
71100,Dindigul Thalappakatti,"South Indian, Biryani, Chinese, North Indian",800,Triplicane,Chennai,"87/3, Varna Towers, Anna Salai, Border Thottam, Padupakkam, Triplicane, Chennai",13.0656979300,80.2679794282,4.0,Very Good,https://www.zomato.com/chennai/dindigul-thalappakatti-triplicane/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop
18608284,Ratna Cafe,South Indian,300,Kilpauk,Chennai,"240, Kilpauk Garden Road, Kilpauk, Chennai",13.0834252684,80.2393636107,3.9,Good,https://www.zomato.com/chennai/ratna-cafe-1-kilpauk/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop
18634795,Bistro 1427,"Cafe, Fast Food, North Indian, Chinese, Italian",700,Mylapore,Chennai,"Mylapore, Chennai",13.0427110111,80.2682117745,4.4,Very Good,https://www.zomato.com/chennai/bistro-1427-mylapore/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop
18214541,Charminar Biriyani Centre,"Biryani, North Indian",300,Royapettah,Chennai,"91, Dr. Besant Road, Near Meesapet Market, Royapettah, Chennai",13.0534332802,80.2698130533,4.1,Very Good,https://www.zomato.com/chennai/charminar-biriyani-centre-royapettah/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop
70894,Maplai,"Chettinad, Biryani, South Indian",1000,Nungambakkam,Chennai,"14, Sterling Avenue, Nungambakkam, Chennai",13.0638324047,80.2363404259,4.4,Very Good,https://www.zomato.com/chennai/maplai-nungambakkam/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop
18537778,Desi Klub,Pizza,1000,Chetpet,Chennai,"25, Harrington Road, Chetpet, Chennai",13.0688534835,80.2372185141,4.3,Very Good,https://www.zomato.com/chennai/desi-klub-chetpet/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop
18745112,Shree Konar Vilas,Chettinad,300,Purasavakkam,Chennai,"128, Perambur Barracks Road, Purasavakkam, Chennai",13.0897891116,80.2585635334,4.3,Very Good,https://www.zomato.com/chennai/shree-konar-vilas-purasavakkam/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop
67280,Momo Sa-Khang by Kailash Kitchen,"Tibetan, Momos, Chinese",300,Choolaimedu,Chennai,"2/247, Perinbavilas Complex, Opposite Chitra Apartments, Choolaimedu, Chennai",13.0653083003,80.2309169993,4.7,Excellent,https://www.zomato.com/chennai/momo-sa-khang-by-kailash-kitchen-choolaimedu/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop
73172,Murugan Idli Shop,South Indian,150,Park Town,Chennai,"1113, Viruthunagar Nadar Mansonb Road",13.0807019623,80.2692400664,4.0,Very Good,https://www.zomato.com/chennai/murugan-idli-shop-park-town/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop
18503354,Liza Restaurant,"North Indian, Arabian",400,Vepery,Chennai,"7/4, Vepery High Road, Opposite Periampet Masjid, Periampet, Vepery, Chennai",13.0843256281,80.2699019015,3.7,Good,https://www.zomato.com/chennai/liza-restaurant-vepery/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop
18621245,Grill Box - Unlimited BBQ,"North Indian, South Indian, BBQ",1200,Mylapore,Chennai,"25 Dr Radhakrishnan Salai, Near Yellow Pages Junction, Mylapore, Chennai",13.0442170823,80.2686959133,4.6,Excellent,https://www.zomato.com/chennai/grill-box-unlimited-bbq-mylapore/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop
18631263,27 Culinary Street,"North Indian, Chinese, Continental, Mongolian, Momos",1300,Mylapore,Chennai,"27/28 Dr. Radhakrishnan Salai, Dwarka Colony (above Syndicate Bank), Mylapore, Chennai",13.0440377653,80.2677353472,4.4,Very Good,https://www.zomato.com/chennai/27-culinary-street-mylapore/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop
68471,Jalpaan,"North Indian, Chinese, South Indian",1100,Nungambakkam,Chennai,"21, Opposite MRF Building, Greams Road, Nungambakkam, Chennai",13.0574375176,80.2553649992,4.3,Very Good,https://www.zomato.com/chennai/jalpaan-nungambakkam/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop
18619095,Palmshore,"Seafood, Biryani, Kebab, North Indian, Chinese, Arabian, BBQ, Juices",1000,Egmore,Chennai,"99/59, Pantheon Road, Opposite Museum, Egmore, Chennai",13.0694073832,80.2570849657,4.5,Excellent,https://www.zomato.com/chennai/palmshore-egmore/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop
18588039,Fromage,"Cafe, Italian, French, European",1000,MRC Nagar,Chennai,"Somerset Greenway, Lords Avenue, MRC Nagar, Chennai",13.0171635645,80.2707035467,4.5,Excellent,https://www.zomato.com/chennai/fromage-mrc-nagar/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop
66498,Sandy's Chocolate Laboratory,"Cafe, Continental, Italian, Desserts",1400,Nungambakkam,Chennai,"16, Wallace Garden, 2nd Street, Nungambakkam, Chennai",13.0611082292,80.2482920140,4.4,Very Good,https://www.zomato.com/chennai/sandys-chocolate-laboratory-nungambakkam/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop
18423070,Studio - The Slate,"Continental, North Indian",1500,The Slate,Chennai,"23/13 , Khader Nawaz Khan Road, Nungambakkam, Chennai",13.0594712925,80.2490772307,4.3,Very Good,https://www.zomato.com/chennai/studio-the-slate-nungambakkam/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop
70844,Crisp Cafe,"Cafe, Fast Food",1000,Nungambakkam,Chennai,"1, Kothari Road, Sterling Road, Opposite Sterling Club, Nungambakkam, Chennai",13.0648837240,80.2391567454,4.1,Very Good,https://www.zomato.com/chennai/crisp-cafe-nungambakkam/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop
69646,Sera - The Tapas Bar & Restaurant,"Italian, Seafood, Finger Food",1600,Gopalapuram,Chennai,"71, Cathedral Road, Gopalapuram, Chennai",13.0458296233,80.2580529079,4.3,Very Good,https://www.zomato.com/chennai/sera-the-tapas-bar-restaurant-gopalapuram/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop
18384262,Kapao Dos,"American, Burger, Chinese, Desserts, Panini, Italian, Momos",600,Egmore,Chennai,"Wellingdon Estate , Ethiraj Sala, Opposite Ethiraj college, Egmore, Chennai",13.0650731504,80.2585551515,4.2,Very Good,https://www.zomato.com/chennai/kapao-dos-egmore/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop
19000279,Sante Spa Cuisine,"Salad, Continental, Healthy Food, Mediterranean, Pizza",1300,Nungambakkam,Chennai,"4, Rutland Gate, 2nd Street, Nungambakkam, Chennai",13.0607372086,80.2520420775,4.4,Very Good,https://www.zomato.com/chennai/sante-spa-cuisine-nungambakkam/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop
18769502,Cafe Litt,"Cafe, Italian, Desserts, Continental, Beverages",600,Vepery,Chennai,"New 18, Old 72, Jermiah Road, Vepery, Chennai",13.0863657129,80.2611552179,4.0,Very Good,https://www.zomato.com/chennai/cafe-litt-vepery/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop
71898,Arabian Kebab Center,"Biryani, North Indian",400,Kodambakkam,Chennai,"17/5, Station View Road, Kodambakkam, Chennai",13.0522489803,80.2276272699,4.4,Very Good,https://www.zomato.com/chennai/arabian-kebab-center-kodambakkam/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop
18478667,Dialogue In The Dark,North Indian,1200,"Express Avenue Mall,  Royapettah",Chennai,"Express Avenue, S30, 3rd Floor, Express Mall, Whites Road, Royapettah, Chennai",13.0584738402,80.2640087530,4.7,Excellent,https://www.zomato.com/chennai/dialogue-in-the-dark-royapettah/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop
71438,Waf O'Bel,"Desserts, Beverages",400,Chetpet,Chennai,"5/33, 13th Avenue, Harrington Road, Chetpet, Chennai",13.0702757882,80.2385737002,4.6,Excellent,https://www.zomato.com/wafobel/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop
18671238,Off The Record,"European, Continental, North Indian",1500,Nungambakkam,Chennai,"179/8, Kodambakkam High Road, Parthasarathi Puram, Nungambakkam, Chennai",13.0535492277,80.2487496659,4.4,Very Good,https://www.zomato.com/chennai/off-the-record-1-nungambakkam/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop
18953565,Blind Ch3mistry,"Cafe, Continental, Italian, Desserts",550,Teynampet,Chennai,"52, Ground Floor, Eldams Road, Teynampet, Chennai",13.0386010000,80.2529830000,4.7,Excellent,https://www.zomato.com/chennai/blind-ch3mistry-teynampet/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop
66377,Hotel Paramount,"North Indian, Chinese, Seafood, South Indian, Biryani",500,Kilpauk,Chennai,"12/5, Ormes Road, Kilpauk, Chennai",13.0812182791,80.2477492020,4.1,Very Good,https://www.zomato.com/chennai/hotel-paramount-kilpauk/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop
71679,National Lodge,Andhra,300,Sowcarpet,Chennai,"112, Govindappa Naickan Street, Sowcarpet, Chennai",13.0899151654,80.2813576162,4.2,Very Good,https://www.zomato.com/chennai/national-lodge-sowcarpet/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop
18546718,Chennai Darbar,"Chinese, Chettinad, Arabian",500,Ashok Nagar,Chennai,"9 Pillayar Kovil Street, Jafferkhanpet Main Road, Ashok Pillar, Ashok Nagar, Chennai",13.0299549294,80.2093694732,3.9,Good,https://www.zomato.com/chennai/chennai-darbar-ashok-nagar/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop
18720717,The Bark,"Cafe, Mexican, Italian, Continental",800,Alwarpet,Chennai,"40, Maharaja Surya Rao Road, Dutch Village, Alwarpet, Chennai",13.0394055267,80.2538391575,4.3,Very Good,https://www.zomato.com/chennai/the-bark-1-alwarpet/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop
65951,601 - The Park,"Biryani, North Indian",2700,"The Park, Nungambakkam",Chennai,"The Park, 601, Nungambakkam High Road, Nungambakkam, Chennai",13.0528117358,80.2497782931,4.2,Very Good,https://www.zomato.com/chennai/601-the-park-nungambakkam/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop
66166,Fruit Shop On Greams Road,"Beverages, Fast Food",300,Thousand Lights,Chennai,"12/1, Greams Road, Thousand Lights, Chennai",13.0600889010,80.2541439235,4.3,Very Good,https://www.zomato.com/chennai/fruit-shop-on-greams-road-1-thousand-lights/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop
65624,Tuscana Pizzeria,"Italian, Pizza",1400,Nungambakkam,Chennai,"19, 3rd Street, Wallace Garden Road, Nungambakkam, Chennai",13.0613564469,80.2496046200,4.1,Very Good,https://www.zomato.com/chennai/tuscana-pizzeria-nungambakkam/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop
18668355,Joker's Kitchen,"Continental, Italian",800,Alwarpet,Chennai,"94/1, Door 211/1, TTK Road, Near Ethiraj Kalayana Mandapam, Alwarpet, Chennai",13.0358367299,80.2551249415,4.4,Very Good,https://www.zomato.com/chennai/jokers-kitchen-alwarpet/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop
71663,Gatsby 2000 - Crowne Plaza Chennai Adyar Park,"North Indian, Chinese",3000,"Crowne Plaza Chennai Adyar Park, Alwarpet",Chennai,"Crowne Plaza Chennai Adyar Park, TTK Road, Austin Nagar, Alwarpet, Chennai",13.0293238533,80.2494195476,3.8,Good,https://www.zomato.com/chennai/gatsby-2000-crowne-plaza-chennai-adyar-park-alwarpet/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop
70856,AB's - Absolute Barbecues,"BBQ, North Indian, European, Beverages",1400,T. Nagar,Chennai,"45, GN Chetty Road, T. Nagar, Chennai",13.0452596662,80.2412599325,4.9,Excellent,https://www.zomato.com/chennai/abs-absolute-barbecues-t-nagar/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop
65306,Little Italy,"Italian, Mexican, Salad",1500,Nungambakkam,Chennai,"112, Eldorado Building, Nungambakkam High Road, Nungambakkam, Chennai",13.0608276775,80.2474957332,4.1,Very Good,https://www.zomato.com/chennai/little-italy-nungambakkam/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop
70497,Basil With A Twist,"Continental, Cafe, Italian, European, Mediterranean, Steak, Pizza, Salad",1500,T. Nagar,Chennai,"58-A, Habibullah Road, T. Nagar, Chennai",13.0494887491,80.2421799302,4.4,Very Good,https://www.zomato.com/chennai/basil-with-a-twist-t-nagar/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop
